iter,amp,temp_eV,m0,m2
1,30961810.1861,18050.8476708,3.148451e+20,7.568761e+32
2,31194747.7157,18322.0935338,3.214816e+20,7.829736e+32
3,30780624.6545,17977.5399787,3.118613e+20,7.470378e+32
4,30958536.459,18204.780201,3.172178e+20,7.682644e+32
5,30958403.7238,18204.6731144,3.172147e+20,7.682531e+32
6,30958391.1498,18204.6565166,3.172144e+20,7.682515e+32
7,30958380.3115,18204.65205,3.172142e+20,7.682509e+32
8,30958375.3964,18204.6493436,3.172141e+20,7.682506e+32
9,30958372.7917,18204.6474408,3.172140e+20,7.682504e+32
10,30958372.4203,18204.6456589,3.172140e+20,7.682503e+32
1,30958371.5349,18204.6444904,3.172140e+20,7.682502e+32
