iter,amp,temp_eV,m0,m2
1,200,25000,3.374980e+20,8.135015e+32
2,187.979662102,23609.3449121,3.083213e+20,7.024884e+32
3,193.401308758,25819.4547042,3.316358e+20,8.251587e+32
4,187.530509442,25120.428313,3.172124e+20,7.682303e+32
5,187.529832371,25120.7456704,3.172133e+20,7.682419e+32
6,187.529646992,25120.8256615,3.172135e+20,7.682448e+32
7,187.529561496,25120.861797,3.172135e+20,7.682461e+32
8,187.529528797,25120.8808871,3.172136e+20,7.682468e+32
9,187.529501406,25120.8939103,3.172136e+20,7.682473e+32
10,187.529487394,25120.9024793,3.172137e+20,7.682476e+32
