iter,amp,temp_eV,m0,m2
1,200,25000,4.739705e+20,1.141460e+33
2,133.853815797,16826.0276313,2.642852e+20,4.315760e+32
3,160.660822299,29952.0532067,4.143256e+20,1.192439e+33
4,133.391419298,25121.1166951,3.168294e+20,7.666579e+32
5,133.455436907,25134.2182529,3.170583e+20,7.676059e+32
6,133.471673612,25137.533626,3.171164e+20,7.678461e+32
7,133.479075572,25139.0483607,3.171428e+20,7.679558e+32
8,133.4833255,25139.9140455,3.171580e+20,7.680186e+32
9,133.486076696,25140.4751797,3.171678e+20,7.680593e+32
10,133.488007223,25140.8677994,3.171747e+20,7.680878e+32
